add-yield-none,2,10,40,34610751,865268,0
add-yield-none,2,20,80,35300386,441254,0
add-yield-none,2,40,160,14637302,91483,0
add-yield-none,2,80,320,25943908,81074,0
add-yield-none,2,100,400,43643246,109108,0
add-yield-none,2,1000,4000,51773881,12943,0
add-yield-none,2,10000,40000,248838177,6220,0
add-yield-none,2,100000,400000,1233324516,3083,-20577
add-yield-none,4,10,80,42526543,531581,0
add-yield-none,4,20,160,7277788,45486,11
add-yield-none,4,40,320,3617763,11305,0
add-yield-none,4,80,640,44792265,69987,0
add-yield-none,4,100,800,41681227,52101,0
add-yield-none,4,1000,8000,46742946,5842,0
add-yield-none,4,10000,80000,273726206,3421,-2564
add-yield-none,4,100000,800000,1604126447,2005,-52180
add-yield-none,8,10,160,49168976,307306,0
add-yield-none,8,20,320,43070957,134596,0
add-yield-none,8,40,640,36774758,57460,0
add-yield-none,8,80,1280,68218619,53295,2
add-yield-none,8,100,1600,53662993,33539,0
add-yield-none,8,1000,16000,51770030,3235,-792
add-yield-none,8,10000,160000,238172480,1488,-321
add-yield-none,8,100000,1600000,1317255904,823,-19322
add-yield-none,12,10,240,36392106,151633,14
add-yield-none,12,20,480,36456341,75950,0
add-yield-none,12,40,960,34500750,35938,0
add-yield-none,12,80,1920,69485807,36190,17
add-yield-none,12,100,2400,34481488,14367,0
add-yield-none,12,1000,24000,34017404,1417,1335
add-yield-none,12,10000,240000,198233665,825,8300
add-yield-none,12,100000,2400000,1352852795,563,-46068
add-none,2,100,400,21349708,53374,0
add-none,2,1000,4000,27778161,6944,0
add-none,2,10000,40000,36551298,913,0
add-none,2,100000,400000,28332576,70,-34863
add-none,3,100,600,9619087,16031,0
add-none,3,1000,6000,183243,30,21
add-none,3,10000,60000,2123982,35,0
add-none,3,100000,600000,5003281,8,0
add-none,4,100,800,23270751,29088,0
add-none,4,1000,8000,25399611,3174,311
add-none,4,10000,80000,24383673,304,-1664
add-none,4,100000,800000,30542982,38,31658
add-none,5,100,1000,21436976,21436,0
add-none,5,1000,10000,21491240,2149,-125
add-none,5,10000,100000,16981443,169,-3557
add-none,5,100000,1000000,36436447,36,-101477
add-none,6,100,1200,22349446,18624,29
add-none,6,1000,12000,15436906,1286,0
add-none,6,10000,120000,25536403,212,-191
add-none,6,100000,1200000,42674966,35,-47852
add-none,7,100,1400,23445969,16747,0
add-none,7,1000,14000,404394,28,-217
add-none,7,10000,140000,19355168,138,-4195
add-none,7,100000,1400000,51990305,37,27783
add-none,8,100,1600,18451888,11532,5
add-none,8,1000,16000,22894117,1430,-318
add-none,8,10000,160000,29720394,185,-5070
add-none,8,100000,1600000,43459895,27,7418
add-none,1,10,20,11090107,554505,0
add-none,1,20,40,10711650,267791,0
add-none,1,40,80,39752487,496906,0
add-none,1,100,200,18521061,92605,0
add-none,1,1000,2000,10880984,5440,0
add-none,1,10000,20000,11447933,572,0
add-none,1,100000,200000,33572896,167,0
add-yield-m,2,10000,40000,197673064,4941,0
add-yield-s,2,1000,4000,59508051,14877,0
add-yield-c,2,10000,40000,132154655,3303,0
add-yield-m,4,10000,80000,866730501,10834,0
add-yield-s,4,1000,8000,575012528,71876,0
add-yield-c,4,10000,80000,430337318,5379,0
add-yield-m,8,10000,160000,1041014547,6506,0
add-yield-s,8,1000,16000,1800514609,112532,0
add-yield-c,8,10000,160000,232523112,1453,0
add-yield-m,12,10000,240000,2362369922,9843,0
add-yield-s,12,1000,24000,1103521327,45980,0
add-yield-c,12,10000,240000,295440519,1231,0
add-none,1,10000,20000,10560090,528,0
add-m,1,10000,20000,50421538,2521,0
add-c,1,10000,20000,24472083,1223,0
add-s,1,10000,20000,43743456,2187,0
add-none,2,10000,40000,21618978,540,0
add-m,2,10000,40000,10542875,263,0
add-c,2,10000,40000,31619550,790,0
add-s,2,10000,40000,11449834,286,0
add-none,4,10000,80000,25480656,318,0
add-m,4,10000,80000,111596881,1394,0
add-c,4,10000,80000,74220868,927,0
add-s,4,10000,80000,32402639,405,0
add-none,8,10000,160000,24086508,150,-7220
add-m,8,10000,160000,217585060,1359,0
add-c,8,10000,160000,103195489,644,0
add-s,8,10000,160000,89522175,559,0
add-none,12,10000,240000,27609647,115,-2232
add-m,12,10000,240000,201442197,839,0
add-c,12,10000,240000,80030797,333,0
add-s,12,10000,240000,115543774,481,0
